time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1762413705.382725,0.277456,0.415514,1.000000,1.351295,-0.016116,-0.019537,0.000000,-0.000440,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413705.416068,0.277456,0.415514,1.000000,1.351295,-0.016116,-0.019537,0.000000,-0.000440,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413705.449384,0.278507,0.414165,1.000000,1.352022,-0.016130,-0.019525,0.000000,0.001408,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413705.482747,0.278507,0.414165,1.000000,1.352022,-0.016130,-0.019525,0.000000,0.001408,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413705.516066,0.279395,0.413024,1.000000,1.352022,-0.016130,-0.019525,0.000000,0.001408,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413705.549401,0.279395,0.413024,1.000000,1.352022,-0.016130,-0.019525,0.000000,0.001408,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413705.883776,0.279395,0.413024,1.000000,1.352022,-0.016130,-0.019525,0.000000,0.001408,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413705.916102,0.284895,0.406599,1.000000,1.352035,-0.011674,-0.016203,0.000000,0.001030,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413705.949431,0.284895,0.406599,1.000000,1.352035,-0.011674,-0.016203,0.000000,0.001030,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413705.982782,0.285500,0.405850,1.000000,1.352035,-0.009070,-0.011394,0.000000,0.000927,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.016118,0.285500,0.405850,1.000000,1.352035,-0.009070,-0.011394,0.000000,0.000927,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.049443,0.286047,0.405174,1.000000,1.352671,-0.009077,-0.011388,0.000000,0.002359,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.082776,0.286047,0.405174,1.000000,1.352671,-0.009077,-0.011388,0.000000,0.002359,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.116068,0.286742,0.404314,1.000000,1.352671,-0.009077,-0.011388,0.000000,0.002359,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.149399,0.286742,0.404314,1.000000,1.352671,-0.009077,-0.011388,0.000000,0.002359,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.182771,0.287393,0.403508,1.000000,1.352671,-0.009077,-0.011388,0.000000,0.002359,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.216122,0.287393,0.403508,1.000000,1.352671,-0.009077,-0.011388,0.000000,0.002359,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.249401,0.287732,0.402795,1.000000,1.351836,-0.010022,-0.007828,0.000000,0.001778,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.282760,0.287732,0.402795,1.000000,1.351836,-0.010022,-0.007828,0.000000,0.001778,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.316103,0.288080,0.402064,1.000000,1.351836,-0.010022,-0.007828,0.000000,0.001778,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.349428,0.288080,0.402064,1.000000,1.351836,-0.010022,-0.007828,0.000000,0.001778,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.382807,0.288856,0.401232,1.000000,1.351836,-0.010639,-0.015526,0.000000,0.001600,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.416109,0.288856,0.401232,1.000000,1.351836,-0.010639,-0.015526,0.000000,0.001600,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.449386,0.289819,0.400201,1.000000,1.351415,-0.010633,-0.015531,0.000000,0.000365,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.482780,0.289819,0.400201,1.000000,1.351415,-0.010633,-0.015531,0.000000,0.000365,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.516098,0.290687,0.399272,1.000000,1.351415,-0.010633,-0.015531,0.000000,0.000365,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.549429,0.290687,0.399272,1.000000,1.351415,-0.010633,-0.015531,0.000000,0.000365,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.582790,0.291440,0.398465,1.000000,1.351415,-0.010633,-0.015531,0.000000,0.000365,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1762413706.616048,0.291692,0.398027,1.000000,1.350801,-0.007838,-0.007175,0.000000,0.000051,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
