time,x,y,z,roll,pitch,yaw,linx,liny,linz,angx,angy,angz,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1762203438.482150,-0.014323,-0.053995,0.958104,0.016311,-0.007719,-2.709894,-0.006301,0.009585,0.085550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203438.515469,-0.013757,-0.053530,0.962018,0.016311,-0.007719,-2.709894,-0.011219,-0.002926,0.061929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203438.548814,-0.013757,-0.053530,0.962018,0.016311,-0.007719,-2.709894,-0.011219,-0.002926,0.061929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203438.582175,-0.013757,-0.053530,0.962018,0.016311,-0.007719,-2.709894,-0.011219,-0.002926,0.061929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203438.615431,-0.013058,-0.052957,0.966844,0.015229,-0.007443,-2.710871,-0.011216,-0.002937,0.061929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203438.648825,-0.013058,-0.052957,0.966844,0.015229,-0.007443,-2.710871,-0.011216,-0.002937,0.061929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203438.682161,-0.012523,-0.052519,0.970539,0.015229,-0.007443,-2.710871,-0.011216,-0.002937,0.061929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203438.715465,-0.012523,-0.052519,0.970539,0.015229,-0.007443,-2.710871,-0.011216,-0.002937,0.061929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203438.748813,-0.011930,-0.051653,0.973426,0.015229,-0.007443,-2.710871,-0.013296,-0.007957,0.042650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203438.782084,-0.011391,-0.050867,0.976051,0.011466,-0.007269,-2.709904,-0.013304,-0.007944,0.042650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203438.815477,-0.011391,-0.050867,0.976051,0.011466,-0.007269,-2.709904,-0.013304,-0.007944,0.042650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203438.848796,-0.010798,-0.050001,0.978940,0.011466,-0.007269,-2.709904,-0.013304,-0.007944,0.042650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203438.882122,-0.010798,-0.050001,0.978940,0.011466,-0.007269,-2.709904,-0.013304,-0.007944,0.042650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203438.915440,-0.010110,-0.048800,0.980027,0.013214,-0.006611,-2.709816,-0.016604,-0.011827,0.016007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203438.948785,-0.010110,-0.048800,0.980027,0.013214,-0.006611,-2.709816,-0.016604,-0.011827,0.016007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203438.982138,-0.009457,-0.047660,0.981059,0.013214,-0.006611,-2.709816,-0.016604,-0.011827,0.016007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.015601,-0.009457,-0.047660,0.981059,0.013214,-0.006611,-2.709816,-0.016604,-0.011827,0.016007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.048804,-0.009457,-0.047660,0.981059,0.013214,-0.006611,-2.709816,-0.016604,-0.011827,0.016007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.082160,-0.008678,-0.046301,0.982288,0.013214,-0.006611,-2.709816,-0.016604,-0.011827,0.016007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.115439,-0.008023,-0.045228,0.983267,0.013214,-0.006611,-2.709816,-0.019324,-0.012955,0.018099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.148833,-0.008023,-0.045228,0.983267,0.013214,-0.006611,-2.709816,-0.019324,-0.012955,0.018099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.182123,-0.008023,-0.045228,0.983267,0.013214,-0.006611,-2.709816,-0.019324,-0.012955,0.018099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.215497,-0.007119,-0.043749,0.984615,0.011036,-0.007174,-2.709490,-0.019328,-0.012949,0.018099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.248777,-0.007119,-0.043749,0.984615,0.011036,-0.007174,-2.709490,-0.019328,-0.012949,0.018099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.282115,-0.006272,-0.042362,0.985879,0.011036,-0.007174,-2.709490,-0.019328,-0.012949,0.018099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.315454,-0.006272,-0.042362,0.985879,0.011036,-0.007174,-2.709490,-0.019328,-0.012949,0.018099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.348868,-0.005585,-0.040756,0.989219,0.011036,-0.007174,-2.709490,-0.020605,-0.018597,0.053074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.382138,-0.005585,-0.040756,0.989219,0.011036,-0.007174,-2.709490,-0.020605,-0.018597,0.053074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.415457,-0.004837,-0.039009,0.992853,0.012268,-0.005998,-2.710191,-0.020592,-0.018611,0.053074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.448823,-0.004837,-0.039009,0.992853,0.012268,-0.005998,-2.710191,-0.020592,-0.018611,0.053074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.482096,-0.004050,-0.037170,0.996679,0.012268,-0.005998,-2.710191,-0.020592,-0.018611,0.053074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.515434,-0.004050,-0.037170,0.996679,0.012268,-0.005998,-2.710191,-0.020592,-0.018611,0.053074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.548811,-0.003658,-0.035733,1.000499,0.010390,-0.004968,-2.710580,-0.016026,-0.019145,0.064061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.582133,-0.003658,-0.035733,1.000499,0.010390,-0.004968,-2.710580,-0.016026,-0.019145,0.064061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.615460,-0.003219,-0.034121,1.004786,0.010390,-0.004968,-2.710580,-0.016026,-0.019145,0.064061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.648802,-0.003219,-0.034121,1.004786,0.010390,-0.004968,-2.710580,-0.016026,-0.019145,0.064061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.682100,-0.002780,-0.032509,1.009073,0.010390,-0.004968,-2.710580,-0.016026,-0.019145,0.064061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.715475,-0.002780,-0.032509,1.009073,0.010390,-0.004968,-2.710580,-0.016026,-0.019145,0.064061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.748787,-0.002678,-0.031124,1.010822,0.010390,-0.004968,-2.710580,-0.010220,-0.018502,0.026614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.782111,-0.002678,-0.031124,1.010822,0.010390,-0.004968,-2.710580,-0.010220,-0.018502,0.026614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.815437,-0.002566,-0.029605,1.012739,0.010264,-0.006174,-2.710341,-0.010224,-0.018500,0.026614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.848941,-0.002481,-0.028458,1.014188,0.010264,-0.006174,-2.710341,-0.010224,-0.018500,0.026614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.882088,-0.002481,-0.028458,1.014188,0.010264,-0.006174,-2.710341,-0.010224,-0.018500,0.026614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.915455,-0.002481,-0.028458,1.014188,0.010264,-0.006174,-2.710341,-0.010224,-0.018500,0.026614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.948762,-0.002296,-0.026954,1.017156,0.010264,-0.006174,-2.710341,-0.010715,-0.017342,0.039940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203439.982131,-0.002296,-0.026954,1.017156,0.010264,-0.006174,-2.710341,-0.010715,-0.017342,0.039940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.015460,-0.002119,-0.025510,1.020007,0.008490,-0.006641,-2.710165,-0.010718,-0.017340,0.039940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.048789,-0.002119,-0.025510,1.020007,0.008490,-0.006641,-2.710165,-0.010718,-0.017340,0.039940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.082111,-0.001953,-0.024161,1.022670,0.008490,-0.006641,-2.710165,-0.010718,-0.017340,0.039940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.115453,-0.001953,-0.024161,1.022670,0.008490,-0.006641,-2.710165,-0.010718,-0.017340,0.039940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.148789,-0.001839,-0.023027,1.024387,0.008490,-0.006641,-2.710165,-0.009382,-0.015927,0.027830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.182110,-0.001839,-0.023027,1.024387,0.008490,-0.006641,-2.710165,-0.009382,-0.015927,0.027830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.215455,-0.001709,-0.021751,1.026317,0.007960,-0.006605,-2.711235,-0.009365,-0.015937,0.027830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.248759,-0.001594,-0.020615,1.028036,0.007960,-0.006605,-2.711235,-0.009365,-0.015937,0.027830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.282117,-0.001594,-0.020615,1.028036,0.007960,-0.006605,-2.711235,-0.009365,-0.015937,0.027830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.315491,-0.001594,-0.020615,1.028036,0.007960,-0.006605,-2.711235,-0.009365,-0.015937,0.027830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
